User_id,User_name,Nick in Pokemon Unite,Friendship code in Pokemon Unite,Number of games in rps,Number of wins in rps,History of battles,Balance
0,Bot1,0,0,1,1,,10
1,Bot2,0,0,1,1,,10
2,Bot3,0,0,1,1,,10
3,Bot4,0,0,1,1,,10
4,Bot5,0,0,1,1,,10
5,Bot6,0,0,1,1,,10
6,Bot7,0,0,1,1,,10
7,Bot8,0,0,1,1,,10
8,Bot9,0,0,1,1,,10
9,Bot10,0,0,1,1,,10
545648612600971285,gIDOHXypqh4y,0,0,24,9,"556192844835192871,Fury,-1;556192844835192871,Fury,-1;556192844835192871,Fury,0;556192844835192871,Fury,-1;556192844835192871,Fury,1;556192844835192871,Fury,1;556192844835192871,Fury,1;556192844835192871,Fury,1;556192844835192871,Fury,1;556192844835192871,Fury,1;",90
556192844835192871,Fury,0,0,24,11,"545648612600971285,gIDOHXypqh4y,1;545648612600971285,gIDOHXypqh4y,1;545648612600971285,gIDOHXypqh4y,0;545648612600971285,gIDOHXypqh4y,1;545648612600971285,gIDOHXypqh4y,-1;545648612600971285,gIDOHXypqh4y,-1;545648612600971285,gIDOHXypqh4y,-1;545648612600971285,gIDOHXypqh4y,-1;545648612600971285,gIDOHXypqh4y,-1;545648612600971285,gIDOHXypqh4y,-1;",110
